,job_category,job_name,job_area,min_salary,max_salary,annual_bonus,experience_requirement,education_requirement,company_name,company_category,company_scale,company_welfare,keywords,job_sub_category
0,运维/技术支持,信息化实施工程师,厦门·湖里区·湖里大道,7,10,13薪,3-5年,本科,联发物业,物业服务,1000-9999人,员工旅游，加班补助，五险一金，餐补，定期体检，年终奖，补充医疗保险，节日福利，带薪年假,#SQL#Oracle#MySQL,系统工程师
1,后端开发,C++工程师,厦门·湖里区·禾山,15,30,14薪,1-3年,本科,yealink,通信/网络设备,1000-9999人,全勤奖，定期体检，效益奖金，节日福利，餐补，年终奖，带薪年假，五险一金，股票期权，绩效奖金,#C/C++,C++
2,硬件开发,安规工程师,厦门,8,13,14薪,1-3年,本科,科华恒盛,机械设备/机电/重工,1000-9999人,带薪年假，股票期权，节日福利，加班补助，五险一金，补充医疗保险，年终奖，免费班车，定期体检，包吃,#电路设计#EMC测试,硬件工程师
3,电子/半导体,电气工程师,厦门·集美区·后溪,6,10,,3-5年,大专,金禹创,装修装饰,0-20人,,#CAD,电气工程师
4,前端开发,高级前端开发工程师,厦门·集美区·杏林,12,18,,5-10年,本科,农信互联,互联网,500-999人,年终奖，带薪年假，节日福利，零食下午茶，定期体检，五险一金，股票期权,#HTML#CSS#CSS3#HTML5#React#移动端##,JavaScript
5,后端开发,Erlang 开发,厦门,13,20,,经验不限,学历不限,某大型企业服务公司,企业服务,500-999人,节日福利，五险一金，全勤奖，通讯补贴，零食下午茶，员工旅游，年终奖，加班补助，带薪年假,#网络编程,Erlang
6,移动开发,cocos2D开发,厦门·思明区·会展中心,7,10,,经验不限,学历不限,景迅网络,游戏,20-99人,,#java,COCOS2DX
7,后端开发,PHP开发工程师,厦门,12,20,13薪,3-5年,大专,他趣,移动互联网,500-999人,年终奖，全勤奖，五险一金，节日福利，零食下午茶，带薪年假，年度体检,#Redis#MySQL#MVC开发#分布式技术,PHP
8,后端开发,中高级Java工程师,厦门,13,20,13薪,经验不限,本科,立林科技,智能硬件,1000-9999人,定期体检，节日福利，加班补助，包吃，带薪年假，免费班车，员工旅游，五险一金，餐补，年终奖,#分布式技术#多线程#后端开发#SpringCloud#,Java
9,硬件开发,软件工程师,厦门·集美区·杏南,6,11,,1-3年,本科,庸博电气,电子/半导体/集成电路,20-99人,加班补助，年终奖，免费午餐，股票期权，商业险，五险一金，带薪年假,#自动化技术#DSP开发#FPGA开发#ARM开发#,嵌入式
10,前端开发,前端工程师,厦门·思明区·观音山,6,9,13薪,1-3年,大专,大招科技,企业服务,100-499人,零食下午茶，带薪年假，五险一金，股票期权，定期体检，年终奖，交通补助，加班补助，全勤奖，节日福利,#CSS#JavaScript#CSS3#HTML5#ES6#VUE##,web前端
11,运维/技术支持,网络工程师,厦门·思明区·软件园,7,12,,1-3年,本科,锐捷网络,通信/网络设备,1000-9999人,定期体检，五险一金，零食下午茶，餐补，交通补助，节日福利，免费班车，年终奖，补充医疗保险，带薪年假，爱心基金，员工旅游，通讯补贴,#CCIE证书#网络设备#故障处理#交换机配置####,网络工程师
12,数据,大数据开发工程师,厦门·思明区·软件园,12,17,13薪,3-5年,本科,安胜,互联网,100-499人,股票期权，免费班车，带薪年假，年终奖，定期体检，五险一金，补充医疗保险,#大数据#Mesos#Hadoop#Elasticsearch,数据开发
13,硬件开发,自动化工程师,厦门·同安区·西柯,7,10,,1-3年,大专,伦茨,仪器仪表/工业自动化,0-20人,定期体检，餐补，五险一金，节日福利，年终奖，补充医疗保险，全勤奖，加班补助，带薪年假，员工旅游,#电气工程师#PLC工程师#机器人#自动化技术#,自动化
14,后端开发,Java开发工程师,厦门·集美区·杏林,11,22,,3-5年,本科,网宿科技,互联网,1000-9999人,带薪年假，股票期权，餐补，加班补助，全勤奖，节日福利，定期体检，免费班车，补充医疗保险，通讯补贴，员工旅游，五险一金，年终奖,#JavaScript#HTML#CSS#Python#Shell,Java
15,后端开发,服务端开发工程师,厦门·思明区·观音山,10,15,14薪,1-3年,学历不限,点触科技,游戏,1000-9999人,零食下午茶，全勤奖，免费早餐，带薪年假，节日福利，餐补，加班补助，年终奖，五险一金，定期体检，免费班车,#数据结构#微服务架构#后端开发#Linux#游戏#,Golang
16,高端技术职位,测试经理岗,厦门·思明区·软件园,13,22,14薪,3-5年,本科,建信金科,银行,1000-9999人,补充医疗保险，员工关怀，零食下午茶，节日福利，五险一金，餐补，带薪年假，年终奖，定期体检，工会福利,#测试#测试工程师#自动化测试#功能测试,测试经理
17,项目管理,折边师,厦门·海沧区·海沧,6,8,,经验不限,学历不限,锦锐源建材,原材料及加工/模具,0-20人,,#折边,项目专员
18,项目管理,实施助理,厦门·集美区·杏林,4,6,13薪,1-3年,本科,厦门名翼,计算机软件,0-20人,,#实施工程师/顾问,实施工程师
