_1,_2
思明区·软件园,2821
集美区·杏林,1173
思明区·观音山,1118
湖里区·五缘湾,681
湖里区·禾山,421
湖里区·高崎,411
思明区·会展中心,353
翔安区·马巷,252
思明区·前埔,241
湖里区·湖里大道,205
海沧区·东孚,197
集美区·灌口,190
集美区·侨英,185
集美区·后溪,156
湖里区·万达广场,147
集美区·集美新城,137
思明区·莲花,132
湖里区·塘边,125
同安区·西柯,123
思明区·火车站,108
翔安区·新店,103
思明区·莲坂,102
湖里区·枋湖,102
海沧区·新阳工业区,100
同安区·梧侣,98
思明区·曾厝垵,95
思明区·莲前,94
湖里区·翔鹭,92
同安区·洪塘,82
思明区·松柏,80
思明区·禾祥西路,80
集美区·厦门北站,79
思明区·斗西路,76
思明区·轮渡,72
海沧区·海沧,67
同安区·后田海鲜船坞,59
集美区·大学康城,55
思明区·厦门大学,53
同安区·新民,50
思明区·厦港,49
海沧区·未来海岸,38
湖里区·江头,36
思明区·白鹭洲公园,35
湖里区·金尚,33
同安区·乌涂商业街,30
湖里区·大唐世家,28
同安区·工业集中区,28
集美区·华大,27
湖里区·马垅,27
湖里区·殿前,27
翔安区·火炬园,26
湖里区·东渡,25
思明区·万达广场,25
湖里区·SM城市广场,25
思明区·七星西路,24
集美区·杏东,23
思明区·嘉莲,22
海沧区·海沧农场,22
思明区·瑞景,21
思明区·文园路,20
同安区·城南,20
海沧区·石塘,19
思明区·滨海,18
思明区·湖滨南路,16
湖里区·蔡塘,16
集美区·杏南,15
同安区·祥平,14
湖里区·金山,14
集美区·集美学村,13
思明区·江头,13
同安区·大同,12
思明区·开元,12
海沧区·沧虹路,12
同安区·城东,11
思明区·文灶,10
湖里区·机场区,9
集美区·集美万达广场,9
集美区·日东,9
湖里区·莲前,8
思明区·中山路,8
思明区·市政府,7
海沧区·角美,7
海沧区·阿罗海城市广场,7
思明区·鹭江,6
思明区·滨北,6
思明区·体育中心,6
海沧区·马銮湾,5
思明区·黄厝,5
集美区·嘉庚体育馆,5
海沧区·禹洲城市广场,5
思明区·中华,4
思明区·梧村,4
湖里区·国际邮轮中心,4
集美区·同集南路,4
同安区·五显,4
思明区·仙岳路,3
海沧区·龙池,3
海沧区·悦实广场,3
同安区·第三医院,3
集美区·杏北,3
翔安区·厦大翔安校区,3
集美区·杏滨路海边美食街,2
同安区·乐海城市广场,2
集美区·石鼓路,2
翔安区·洪塘,2
湖里区·莲花,2
思明区·七星乐都汇,2
思明区·吕厝,2
集美区·集美文教区,2
集美区·消防,2
湖里区·吕厝,2
湖里区·悦华路,2
湖里区·穆厝,2
海沧区·海沧体育中心,2
翔安区·汇景购物广场,2
同安区·同集南路,2
翔安区·新圩,2
海沧区·钟林路,2
思明区·筼筜,2
湖里区·湖边水库,2
集美区·锦园,2
湖里区·仙岳路沿线,2
集美区·集源路,2
思明区·金尚,1
湖里区·湖里公园,1
集美区·理工,1
思明区·禾祥东路,1
湖里区·南山路,1
思明区·金鸡亭,1
思明区·南湖公园,1
湖里区·邮轮城,1
集美区·北区,1
思明区·鼓浪屿,1
同安区·汀溪,1
海沧区·新垵,1
湖里区·湖里步行街,1
湖里区·康乐,1
思明区·嘉禾路,1
湖里区·兴湖路沿线,1
