company_name,company_scale,company_category,count
建信金科,1000-9999人,银行,220
美亚柏科,1000-9999人,信息安全,135
美图公司,1000-9999人,互联网,119
厦门四信,500-999人,通信/网络设备,109
网宿科技,1000-9999人,互联网,103
稿定科技,500-999人,互联网,102
盈趣科技,1000-9999人,智能硬件,95
白山云科技,100-499人,互联网,90
4399游戏,1000-9999人,游戏,83
同致电子科技(厦...,1000-9999人,汽车零部件,81
巴根网络,100-499人,互联网,75
立达信,10000人以上,电子/半导体/集成电路,72
立林科技,1000-9999人,智能硬件,71
美柚,500-999人,移动互联网,70
万里目成长,1000-9999人,培训机构,69
点触科技,1000-9999人,游戏,64
宇信科技,1000-9999人,计算机软件,63
易联众,100-499人,计算机软件,59
罗普特股份,500-999人,信息安全,57
厦门雅迅网络,500-999人,通信/网络设备,57
智业软件,1000-9999人,医疗健康,54
易联众民生,500-999人,O2O,54
厦门科拓股份,1000-9999人,智能硬件,52
朗新科技,1000-9999人,计算机软件,52
厦门铃盛软件有限公司,1000-9999人,计算机软件,51
象屿科技,100-499人,企业服务,48
快商通,100-499人,计算机软件,47
今天国际,500-999人,物流/仓储,45
yealink,1000-9999人,通信/网络设备,45
安踏,10000人以上,贸易/进出口,43
畅拓科技,100-499人,互联网,40
准动网络科技,500-999人,互联网,39
金牌厨柜,1000-9999人,建材,38
熵基科技,1000-9999人,计算机软件,38
RingCentral铃盛,500-999人,计算机软件,37
厦门小阿七网络科...,500-999人,游戏,36
九牧厨卫,10000人以上,工程施工,35
同步天成,100-499人,计算机软件,35
厦门微亚,100-499人,仪器仪表/工业自动化,34
星宸科技,100-499人,电子/半导体/集成电路,34
GPU Cloud,20-99人,互联网,34
农信互联,500-999人,互联网,33
松霖科技,1000-9999人,智能硬件,33
福建星网锐捷通讯...,1000-9999人,通信/网络设备,33
飞鱼科技,100-499人,游戏,32
勇仕,100-499人,游戏,32
游动网络,100-499人,游戏,32
明源云,1000-9999人,计算机软件,32
泡游网络,100-499人,游戏,31
腾讯,10000人以上,互联网,31
科华恒盛,1000-9999人,机械设备/机电/重工,31
宜车时代/宜买车,1000-9999人,互联网,31
延趣游戏,100-499人,游戏,30
四信,500-999人,通信/网络设备,30
旷时科技,20-99人,电子/半导体/集成电路,30
法本,10000人以上,计算机软件,30
厦门华联电子股份...,1000-9999人,电子/半导体/集成电路,29
他趣,500-999人,移动互联网,29
神州鹰,500-999人,移动互联网,28
爱立得科技,20-99人,智能硬件,28
渊亭科技,100-499人,计算机软件,28
纵横集团,1000-9999人,通信/网络设备,28
摩多科技游戏,100-499人,游戏,28
星纵信息,100-499人,通信/网络设备,27
Kyligence,100-499人,计算机软件,27
畅享信息,100-499人,计算机软件,27
美怡莱,500-999人,电子商务,27
容大科技,500-999人,电子/半导体/集成电路,26
天马微电子,10000人以上,电子/半导体/集成电路,26
新时颖服饰公司,500-999人,电子商务,25
吉比特,500-999人,游戏,25
商集唯你网,500-999人,计算机软件,25
指纹科技,500-999人,电子商务,25
华为技术有限公司,10000人以上,计算机软件,24
冠捷科技,1000-9999人,仪器仪表/工业自动化,24
易惠科技,100-499人,计算机软件,23
微微科技,100-499人,互联网,23
骇客家科技,100-499人,计算机软件,23
大博医疗,1000-9999人,医疗健康,23
吉联,500-999人,计算机软件,23
麦克玛视,100-499人,计算机软件,23
德科信息,1000-9999人,计算机软件,22
玖拾捌度,100-499人,互联网,22
力和行智能,20-99人,仪器仪表/工业自动化,22
厦门海辰新能源科技,1000-9999人,原材料及加工/模具,22
大道同行,100-499人,游戏,22
诺祺科技,100-499人,计算机软件,22
厦门力和行,100-499人,电子/半导体/集成电路,21
神州优车集团,10000人以上,生活服务,21
诺博视,20-99人,仪器仪表/工业自动化,20
网龙,1000-9999人,移动互联网,20
摩尔脉能,20-99人,计算机软件,20
电子口岸,100-499人,计算机软件,20
最有料,1000-9999人,电子商务,20
Cocos引擎,100-499人,游戏,20
